PROG_ID;FIRST_TIME;NAME;ROLE
MNMA03012612;25.06.2012 18:00;Carl Johan Rimstad;Redigerer
MNMA03012612;25.06.2012 18:00;Tomm Kristiansen;Programleder
MNMA03012612;25.06.2012 18:00;Sigurd Falkenberg Mikkelsen;Korrespondent
MNMA03012612;25.06.2012 18:00;Trine Skei Grande;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Per Sandberg;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Jan Bøhler;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Torgeir Larsen;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Bjørg Norli;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Leif Sande;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Gro Brækken;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Øystein Noreng;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Frode Forfang;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Mona Abdel-Fadill;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Trygve Nordby;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Anette Berger;Intervjuobjekt
MNMA03012612;25.06.2012 18:00;Anders B. Werp ;Intervjuobjekt
MNAN11004811;27.11.2011 09:03;;
MNAN11009711;12.11.2011 15:03;;
MNMA03012112;18.06.2012 18:00;;
MNMA03025211;20.12.2011 18:03;;
MNMA03025311;21.12.2011 18:03;;
MNMA03025811;28.12.2011 18:03;;
NMAG03001514;22.01.2014 18:00;Susanne Sunde Bakke;Script
NMAG03001514;22.01.2014 18:00;Finn Lie;Redigerer
NMAG03001514;22.01.2014 18:00;Geir Allan Stava;Gjest
NMAG03001514;22.01.2014 18:00;Gerhard Heiberg;Gjest
NMAG03001514;22.01.2014 18:00;Kari Elisabeth Kaski;Gjest
NMAG03001514;22.01.2014 18:00;Bård Glad Pedersen;Gjest
NMAG03001514;22.01.2014 18:00;Nikolai Astrup;Gjest
NMAG03001514;22.01.2014 18:00;Trond Nilsen;Gjest
NMAG03001514;22.01.2014 18:00;Svein Sturla Hungnes;Gjest
NMAG03001514;22.01.2014 18:00;Ane Tusvik Bonde;Gjest
NMAG03001514;22.01.2014 18:00;Mathilde Fasting;Gjest
NMAG03001514;22.01.2014 18:00;Magnus Marsdal;Gjest
NMAG03001514;22.01.2014 18:00;Hanna Marcussen;Gjest
NMAG03001514;22.01.2014 18:00;Sigrid Sollund;Programleder
NMAG03001514;22.01.2014 18:00;Kåre Conradi;Skuespiller
NMAG03001514;22.01.2014 18:00;Hege Moe Eriksen;Reporter
NMAG03001514;22.01.2014 18:00;Eivind Waage;Produsent
NMAG03001514;22.01.2014 18:00;Hans-Wilhelm Steinfeld;Korrespondent
MNMA03000412;05.01.2012 18:03;;
MNMA03001312;18.01.2012 18:03;;
MNMA03013012;29.06.2012 18:00;Carl Johan Rimstad;Redigerer
MNMA03013012;29.06.2012 18:00;Erik Aasheim;Programleder
MNMA03013012;29.06.2012 18:00;Hege Moe Eriksen;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Lars Sigurd Sunnanå;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Ine Eriksen Søreide;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Halvor Mehlum;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Ali Esbati;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Kjetil Tronvoll;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Gudrun Folkedal;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Rolf Vestvik;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Eivind Reiten;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Tina Søreide;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Terje Erikstad;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Henrik Glette;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Kristian Marstad Pladsen;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Astrid Valen-Utvik;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Øivind Benestad;Intervjuobjekt
MNMA03013012;29.06.2012 18:00;Anne Berit Evang;Intervjuobjekt
